date,close
2014.01.01,0.82182
2014.01.02,0.82371
2014.01.05,0.82543
2014.01.06,0.8257
2014.01.07,0.82916
2014.01.08,0.82539
2014.01.09,0.82396
2014.01.12,0.8329
2014.01.13,0.83769
2014.01.14,0.83409
2014.01.15,0.83257
2014.01.16,0.83061
2014.01.19,0.82439
2014.01.20,0.83213
2014.01.21,0.83197
2014.01.22,0.82767
2014.01.23,0.82635
2014.01.26,0.82288
2014.01.27,0.82629
2014.01.28,0.8276
2014.01.29,0.81707
2014.01.30,0.81325
2014.02.02,0.81134
2014.02.03,0.81147
2014.02.04,0.82109
2014.02.05,0.82368
2014.02.06,0.82351
2014.02.09,0.8272
2014.02.10,0.8302
2014.02.11,0.83396
2014.02.12,0.8301
2014.02.13,0.83374
2014.02.16,0.83712
2014.02.17,0.83505
2014.02.18,0.83058
2014.02.19,0.82564
2014.02.20,0.83025
2014.02.23,0.82813
2014.02.24,0.83336
2014.02.25,0.83336
2014.02.26,0.83242
2014.02.27,0.83895
2014.03.02,0.83552
2014.03.03,0.83702
2014.03.04,0.83891
2014.03.05,0.84198
2014.03.06,0.84798
2014.03.09,0.84618
2014.03.10,0.84809
2014.03.11,0.84666
2014.03.12,0.8559
2014.03.13,0.85413
2014.03.16,0.85327
2014.03.17,0.85604
2014.03.18,0.86069
2014.03.19,0.85242
2014.03.20,0.85326
2014.03.23,0.8536
2014.03.24,0.85524
2014.03.25,0.85847
2014.03.26,0.86254
2014.03.27,0.86836
2014.03.30,0.86561
2014.03.31,0.86753
2014.04.01,0.86014
2014.04.02,0.85424
2014.04.03,0.8557
2014.04.06,0.85979
2014.04.07,0.86272
2014.04.08,0.8701
2014.04.09,0.87115
2014.04.10,0.86367
2014.04.13,0.86827
2014.04.14,0.86554
2014.04.15,0.85928
2014.04.16,0.86235
2014.04.17,0.8577
2014.04.20,0.85675
2014.04.21,0.85816
2014.04.22,0.85954
2014.04.23,0.86242
2014.04.24,0.8567
2014.04.27,0.8578
2014.04.28,0.85315
2014.04.29,0.85635
2014.04.30,0.86091
2014.05.01,0.86202
